sampleID POP K1 K2 K3 K4 K5
HG00631 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00632 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00634 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00637 AMR 0.021118 0.00856 0.101933 0.701072 0.167318
HG00638 AMR 0.01156 0.00977 0.121328 0.685879 0.171462
HG00640 AMR 0.000849 0.02564 0.088617 0.807761 0.077134
HG00641 AMR 0.003596 0.016987 0.137086 0.746552 0.095778
HG00650 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00651 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00653 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00654 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00656 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00657 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00662 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00663 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00671 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00672 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00674 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00675 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00683 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00684 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00689 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00690 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00692 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00693 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00698 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00699 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00701 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00704 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
HG00705 EAS 0.99996 1e-05 1e-05 1e-05 1e-05
